tweet,created_at
"@aniesbaswedan @kozirama Rektor Paramadina, Founder Indonesia Mengajar, Mendikbud, dan Gubernur DKI....tapi yang jadi titik tekan pak Anies malah YouTube Gold Play Button....😂😂😂",2025-01-16 11:37:02+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-16 11:34:11+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-16 10:20:39+00:00
"Rektor dan Seluruh Civitas Akademika IAIN SAS Babel mengucapkan Selamat Hari Lahir ke-102 Tahun kepada @nahdlatululama 
Semoga terus membawa kedamaian dan bersama menjaga kerukunan dan persatuan Indonesia. https://t.co/0NMyzBZHdm",2025-01-16 08:22:24+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-15 17:10:56+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-15 13:25:25+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-15 07:08:12+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-15 03:07:42+00:00
RT @PakMenteriAHY_: Menko AHY meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) Universitas Indonesia (UI) berkonsep 'green building'…,2025-01-15 02:35:08+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-15 01:26:27+00:00
Rektor Universitas Pertahanan Republik Indonesia serta Civitas Akademik Unhan RI mengucapkan Selamat Hari Dharma Samudera https://t.co/NJuPJUBsiD,2025-01-15 01:17:30+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 22:41:54+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 22:37:16+00:00
